,df,Plant type,Treatment,Dose ,sample,group,apH_beforefertilization,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_before_Secondfertilization,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) ,Chlorphyll data,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Roots ,Si   (%),Na _(ppm),Mg_ (ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Al_(ppm)_Root,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm)
6,B,P,2,UF_200,gBUF200_1,gBUF200,5.66,5.1,12,9,39.54,4.57,38.58,4.49,5.17,0.52,60,37,45.6,83.472,87.1648,0.026,4.34,0.52,26,0,7.17,6.56,10.92,4.97,171.0154,45.6,0.775,9472,-1074,197,3816,19169,9706,-134,69401,1.66,316.943,6,373,8588,155,,3.615,721,1363,1069,1030,4080,1204,10055,7.73,433.718,11,660,624,222,685,3.615,721,1363,685,1069,1030,4080,1204,10055,7.73,433.718,11,660,624,222
7,B,P,2,UF_200,gBUF200_2,gBUF200,5.68,4.54,9.6,6,40.23,4.48,39.23,4.43,4.94,0.58,59.7,38,40.5,29.547,87.1075,0.026,4.28,0.58,26,0,8.28,7.29,14.16,5.66,89.6089,40.5,0.829,8105,-639,155,3403,17635,10933,-247,61116,1.77,332.622,6,435,7549,184,,7.596,-783,1606,104,219,2323,1687,3835,16.25,352.351,9,499,-562,187,1152,7.596,-783,1606,1152,104,219,2323,1687,3835,16.25,352.351,9,499,-562,187
8,B,P,2,UF_200,gBUF200_3,gBUF200,5.7,4.9,14,10,35.25,4.79,33.17,4.51,5.21,0.57,75.3,36,41.9,82.916,91.1402,0.678,4.49,0.57,27,0,29.24,12.42,14.75,5.51,166.0776,41.9,0.516,2891,902,-60,3376,27929,4602,-113,22383,1.1,346.84,6,220,3010,78,,5.242,-189,1506,428,322,3075,1808,6115,11.21,349.086,12,409,131,268,1013,5.242,-189,1506,1013,428,322,3075,1808,6115,11.21,349.086,12,409,131,268
9,B,P,2,UF_200,gBUF200_4,gBUF200,5.72,5.61,13.3,6,36,4.73,33.14,4.4,5.61,0.63,60,26,46.9,33.207,91.583,0.262,4.35,0.51,28,0,7.77,6.63,11.52,4.99,159.6512,46.9,0.92,9385,-995,169,3915,18211,12184,-386,69272,1.97,344.437,6,607,9408,209,,4.6,-250,1601,907,-125,3095,1347,4015,9.84,408.659,10,764,422,220,758,4.6,-250,1601,758,907,-125,3095,1347,4015,9.84,408.659,10,764,422,220
10,B,P,2,UF_200,gBUF200_5,gBUF200,5.74,5.55,14.1,10,37,4.4,34.2,4.53,5.43,0.66,56,53,42.5,83.1,91.5195,0.584,4.47,0.59,26,0,8.81,7.09,10.29,4.96,0.0355,42.5,0.652,9044,-1041,153,3910,18640,11698,-202,67126,1.39,336.31,5,373,9516,205,,6.405,1830,954,757,1872,5886,2403,20827,13.7,448.26,11,771,300,284,840,6.405,1830,954,840,757,1872,5886,2403,20827,13.7,448.26,11,771,300,284
11,B,P,3,MF_100,hBCF100_1,hBCF100,5.76,5.42,11.4,8,15,4.67,10.25,4.51,5.34,0.51,39.5,25,22,-0.748,2.381,0.298,5.8,0.46,28,0,41.97,29.62,29.24,7.6,0.0056,22,0.757,5579,157,31,2341,25725,3511,83,42471,1.62,338.773,4,81,5747,70,,2.522,405,1560,1223,4768,1702,783,7541,5.39,321.099,7,121,940,176,568,2.522,405,1560,568,1223,4768,1702,783,7541,5.39,321.099,7,121,940,176
12,B,P,3,MF_100,hBCF100_2,hBCF100,5.35,5.48,13,7,11.5,4.84,8.78,3.94,4.88,0.66,39,15,22.9,7.07,91.4402,0.541,5.17,0.56,24,0,33.05,27.7,22.2,7.22,-0.0193,22.9,0.912,5440,308,56,1566,20342,5364,36,40993,1.95,368.51,4,96,7371,58,,4.38,-77,1639,732,3301,1871,1701,4969,9.37,536.099,10,146,624,148,830,4.38,-77,1639,830,732,3301,1871,1701,4969,9.37,536.099,10,146,624,148
13,B,P,3,MF_100,hBCF100_3,hBCF100,5.49,5.61,18,12,14.5,4.91,8.35,4.47,5.19,0.5,39.3,23,22,5.39,91.2978,0.683,5.25,0.75,26,0,35.77,27.77,33.52,9.76,0.9131,22,0.94,4512,527,76,1930,23801,4224,80,34965,2.01,310.924,5,95,7828,51,,5.186,-99,1587,820,4920,1836,2305,6298,11.09,342.12,9,214,554,177,898,5.186,-99,1587,898,820,4920,1836,2305,6298,11.09,342.12,9,214,554,177
14,B,P,3,MF_100,hBCF100_4,hBCF100,5.54,5.42,16,7,15.5,4.51,11.8,4.48,5.32,0.51,53.6,15,18.1,1.091,91.0303,0.206,5.19,0.63,26,0,29.22,25.87,15.41,5.58,0.0536,18.1,2.655,4524,651,319,1679,16524,8675,822,35314,5.68,374.108,5,180,14797,232,,8.369,-631,1654,-10,674,2097,3839,4658,17.9,550.854,11,225,-482,251,1222,8.369,-631,1654,1222,-10,674,2097,3839,4658,17.9,550.854,11,225,-482,251
15,B,P,3,MF_100,hBCF100_5,hBCF100,5.43,5.45,15,6,13.25,4.67,8.95,4.46,4.88,0.59,46,12,16.7,5.047,44.9928,0.154,5.44,0.66,25,0,32.84,26.77,14.24,5.38,0.2762,16.7,1.283,4300,721,175,986,15103,5085,204,33353,2.74,370.892,5,92,7356,72,,0.856,339,1667,2415,9148,1791,320,4767,1.83,380.111,7,72,1959,100,443,0.856,339,1667,443,2415,9148,1791,320,4767,1.83,380.111,7,72,1959,100
